event_id,event_time,session_id,event_type,change_idx,object_id,object_type,change_action,old_val,new_val,move_distance,is_reverted
1c2a6660-b034-46f5-a14c-268eb812d854,2026-03-24 13:42:25.417,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,0,65,line,create,null,"{""trackingId"":65,""pointCount"":2,""isClosed"":false}",,FALSE
1c2a6660-b034-46f5-a14c-268eb812d854,2026-03-24 13:42:25.417,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,1,63,point,create,null,"{""trackingId"":63}",,FALSE
1c2a6660-b034-46f5-a14c-268eb812d854,2026-03-24 13:42:25.417,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,2,64,point,create,null,"{""trackingId"":64}",,FALSE
f0f3b1e6-da1d-428f-afde-d4e80050aa69,2026-03-24 13:42:27.028,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,0,68,line,create,null,"{""trackingId"":68,""pointCount"":2,""isClosed"":false}",,FALSE
f0f3b1e6-da1d-428f-afde-d4e80050aa69,2026-03-24 13:42:27.028,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,1,66,point,create,null,"{""trackingId"":66}",,FALSE
f0f3b1e6-da1d-428f-afde-d4e80050aa69,2026-03-24 13:42:27.028,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,2,67,point,create,null,"{""trackingId"":67}",,FALSE
e8b0bb6c-1a81-4f68-8f7b-a54979ab6311,2026-03-24 13:42:28.106,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,0,71,line,create,null,"{""trackingId"":71,""pointCount"":2,""isClosed"":false}",,FALSE
e8b0bb6c-1a81-4f68-8f7b-a54979ab6311,2026-03-24 13:42:28.106,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,1,69,point,create,null,"{""trackingId"":69}",,FALSE
e8b0bb6c-1a81-4f68-8f7b-a54979ab6311,2026-03-24 13:42:28.106,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,2,70,point,create,null,"{""trackingId"":70}",,FALSE
dd446c61-1b8d-440c-9f45-911b5d1af0fa,2026-03-24 13:42:29.185,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,0,74,line,create,null,"{""trackingId"":74,""pointCount"":2,""isClosed"":false}",,FALSE
dd446c61-1b8d-440c-9f45-911b5d1af0fa,2026-03-24 13:42:29.185,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,1,72,point,create,null,"{""trackingId"":72}",,FALSE
dd446c61-1b8d-440c-9f45-911b5d1af0fa,2026-03-24 13:42:29.185,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,2,73,point,create,null,"{""trackingId"":73}",,FALSE
03eea07e-89b3-4e6b-9391-e4c43703d32b,2026-03-24 13:42:34.921,683fbb51-a739-49b3-8b45-848a91894c24,annotation.lane.create,0,75,lane,create,null,"{""trackingId"":75,""boundaries"":{""left"":{""trackingId"":71,""startPointTrackingId"":69,""endPointTrackingId"":70},""right"":{""trackingId"":74,""startPointTrackingId"":72,""endPointTrackingId"":73}},""subClassId"":""e670700ca179d23e99946c18""}",,FALSE
e80f1296-ef4d-4bbb-bc80-a8103cdf7101,2026-03-24 13:42:41.851,683fbb51-a739-49b3-8b45-848a91894c24,annotation.lane.create,0,76,lane,create,null,"{""trackingId"":76,""boundaries"":{""left"":{""trackingId"":65,""startPointTrackingId"":63,""endPointTrackingId"":64},""right"":{""trackingId"":68,""startPointTrackingId"":66,""endPointTrackingId"":67}},""subClassId"":""e670700ca179d23e99946c18""}",,FALSE
114bec30-42aa-4860-907f-f09f8a15fd5a,2026-03-24 13:42:44.433,683fbb51-a739-49b3-8b45-848a91894c24,annotation.topology.create,0,77,topology,create,null,"{""trackingId"":77,""sourceTrackingId"":76,""destinationTrackingId"":75}",,FALSE
dc8b041f-ab67-4117-9460-132d881eb50b,2026-03-24 13:47:02.699,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,0,81,line,create,null,"{""trackingId"":81,""pointCount"":3,""isClosed"":false}",,FALSE
dc8b041f-ab67-4117-9460-132d881eb50b,2026-03-24 13:47:02.699,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,1,78,point,create,null,"{""trackingId"":78}",,FALSE
dc8b041f-ab67-4117-9460-132d881eb50b,2026-03-24 13:47:02.699,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,2,79,point,create,null,"{""trackingId"":79}",,FALSE
dc8b041f-ab67-4117-9460-132d881eb50b,2026-03-24 13:47:02.699,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,3,80,point,create,null,"{""trackingId"":80}",,FALSE
3b8ea7d0-0e89-4755-a9d1-7e18748ba467,2026-03-24 13:49:15.710,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,0,85,line,create,null,"{""trackingId"":85,""pointCount"":3,""isClosed"":false}",,FALSE
3b8ea7d0-0e89-4755-a9d1-7e18748ba467,2026-03-24 13:49:15.710,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,1,82,point,create,null,"{""trackingId"":82}",,FALSE
3b8ea7d0-0e89-4755-a9d1-7e18748ba467,2026-03-24 13:49:15.710,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,2,83,point,create,null,"{""trackingId"":83}",,FALSE
3b8ea7d0-0e89-4755-a9d1-7e18748ba467,2026-03-24 13:49:15.710,683fbb51-a739-49b3-8b45-848a91894c24,annotation.line.create,3,84,point,create,null,"{""trackingId"":84}",,FALSE
